TimeStamp; AccX(g); AccY(g); AccZ(g); GyrX(deg/s); GyrY(deg/s); GyrZ(deg/s); Lat; Long; VitGPS(km/h); Event
1668769388470;-0.57550454;-0.07980916;0.86423314;2.74946;5.6035357;-13.930875;43.78847557;4.831829577;7.7838826;0
1668769388480;0.48520064;-0.033924993;1.0721762;4.56946;-0.346465;-18.305876;43.78847557;4.831829577;7.7838826;0
1668769388490;0.5086309;0.051253587;0.9704013;4.7094603;2.243535;-18.340876;43.78847557;4.831829577;7.7838826;0
1668769388500;-0.17548253;0.02391834;0.92988646;3.3094602;1.4735351;-21.805876;43.78847557;4.831829577;7.7838826;0
1668769388510;-0.045396034;-0.038806286;0.92646956;2.11946;-2.726465;-20.300875;43.78847557;4.831829577;7.7838826;0
1668769388521;0.39465263;0.024894599;0.8381182;1.73446;0.843535;-16.275875;43.78847557;4.831829577;7.7838826;0
1668769388530;0.10665628;0.040270675;0.85813147;1.31446;1.4735351;-16.100876;43.78847557;4.831829577;7.7838826;0
1668769388540;-0.13325933;-0.024894599;1.0836473;-0.47054002;-3.111465;-14.700875;43.78847557;4.831829577;7.7838826;0
1668769388550;-0.10982912;0.059795853;0.86398906;-1.1355401;-0.94146496;-10.990876;43.78847557;4.831829577;7.7838826;0
1668769388560;-0.21233629;-0.02855557;0.99041456;-2.71054;-2.796465;-8.225875;43.78847557;4.831829577;7.7838826;0
1668769388569;-0.29434204;-0.09860214;1.0855998;-4.2505403;0.983535;-5.7408752;43.78847557;4.831829577;7.7838826;0
1668769388580;0.2496782;-0.1037275;0.87912107;-4.95054;3.8535352;-2.7658749;43.78847557;4.831829577;7.7838826;0
1668769388590;-0.10421562;0.025626794;0.8747279;-3.5855403;-0.41646498;0.979125;43.78847557;4.831829577;7.7838826;0
1668769388600;-0.6811846;0.014155753;1.2291098;-4.84554;1.9635348;-0.210875;43.78847557;4.831829577;7.7838826;0
1668769388610;0.43809614;-0.15742172;0.8378741;-7.40054;4.658535;5.879125;43.78847557;4.831829577;7.7838826;0
1668769388620;0.30093178;-0.061016172;0.8725313;-5.7205405;6.058535;6.6141253;43.78847557;4.831829577;7.7838826;0
1668769388630;-0.49667168;-0.045884162;0.9057241;-5.4405403;4.378535;5.844125;43.78847557;4.831829577;7.7838826;0
1668769388640;-0.10177498;0.018548917;0.97625875;-5.5455403;-0.48646498;6.369125;43.78847557;4.831829577;7.7838826;0
1668769388650;-0.067361854;0.05418236;0.95722175;-5.2305403;-0.41646498;10.4991255;43.78847557;4.831829577;7.7838826;0
1668769388660;-0.49008194;0.019037047;0.784668;-6.28054;4.798535;11.654125;43.78847557;4.831829577;7.7838826;0
1668769388669;-0.023186147;-0.17450626;1.1510091;-8.170541;-3.216465;10.989125;43.78847557;4.831829577;7.7838826;0
1668769388680;0.27408466;0.059795853;1.0768135;-4.95054;1.228535;11.654125;43.78847557;4.831829577;7.7838826;0
1668769388690;0.2648102;-0.06077211;1.1178163;-7.19054;1.193535;8.329124;43.78847557;4.831829577;7.7838826;0
1668769388700;-0.64603925;-0.055402685;1.0443529;-7.36554;-2.1314652;9.064125;43.78847557;4.831829577;7.7838826;0
1668769388710;-0.33510083;-0.04051474;0.9345237;-5.5455403;-2.6914651;10.849125;43.78847557;4.831829577;7.7838826;0
1668769388719;-0.029775893;-0.093720846;0.9984687;-6.6655397;0.318535;8.259126;43.78847557;4.831829577;7.7838826;0
1668769388729;-0.9564895;-7.32E-04;0.96063864;-5.2305403;-0.101465;9.169126;43.78847557;4.831829577;7.7838826;0
1668769388739;-0.5366983;0.067117795;0.94208974;-5.3705397;-1.7114649;9.274125;43.78847557;4.831829577;7.7838826;0
1668769388749;-0.36902583;-0.029043699;1.1473482;-7.2605395;-1.886465;12.774125;43.78847557;4.831829577;7.7838826;0
1668769388760;-0.42857763;-0.063700885;1.0126245;-7.3305397;4.308535;13.649125;43.78847557;4.831829577;7.7838826;0
1668769388769;0.005613488;-0.06199243;0.8986462;-7.43554;-2.2364652;12.949125;43.78847557;4.831829577;7.7838826;0
1668769388779;0.3948967;0.037341896;1.0060347;-5.89554;-4.4064655;15.224126;43.78847557;4.831829577;7.7838826;0
1668769388788;0.17694691;-0.011226976;1.1236739;-7.01554;-1.221465;14.8741255;43.78847557;4.831829577;7.7838826;0
1668769388798;0.23747496;-0.06589747;0.85422647;-9.325541;-2.8314652;23.134125;43.78847557;4.831829577;7.7838826;0
1668769388808;-0.8332369;-0.08273793;1.0463054;-10.02554;-0.311465;26.424126;43.78847557;4.831829577;7.7838826;0
1668769388818;-0.20354997;0.040270675;0.86106026;-7.89054;3.013535;27.299126;43.78847557;4.831829577;7.7838826;0
1668769388830;0.8027288;0.045884162;0.7553803;-8.520539;-8.536466;31.219124;43.78847557;4.831829577;7.7838826;0
1668769388840;-0.13399151;0.076636314;1.146616;-9.745541;0.528535;35.419125;43.78847557;4.831829577;7.7838826;0
