TimeStamp; AccX(g); AccY(g); AccZ(g); GyrX(deg/s); GyrY(deg/s); GyrZ(deg/s); Lat; Long; Alt; Bear; VitGPS(km/h); Azi; Pitch; Roll; Azi1; Pitch1; Roll1; gravX; gravY; gravZ; Event
1682615970214;0.3719546;0.065165274;0.76221406;-5.93824;1.6527349;4.757515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;-1.6990486;-0.07668362;-2.0247917;88.85976;-0.21589084;188.93393;0.19514689;0.03695143;9.804617;0
1682615970224;-0.3084978;0.104459696;1.0555799;-4.74824;4.767735;4.127515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;1.810189;-0.09470201;-1.2864608;89.015724;-0.30845582;189.06966;0.16845566;0.05279453;9.805047;0
1682615970234;-0.17450626;0.16645212;1.2391164;-4.81824;1.1277351;3.7775152;45.76996013;4.856315697;234.3305546;270.20337;11.710283;1.82835;-0.13224235;-1.4308853;88.96701;-0.39388943;189.16713;0.17679006;0.06741693;9.8048115;0
1682615970244;-0.25358322;0.09079207;1.3716437;-6.0082397;0.532735;4.687515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;2.2278957;-0.06499749;-1.387985;88.8891;-0.5412446;189.22443;0.19011925;0.09263715;9.804367;0
1682615970254;0.16425554;0.10519189;1.1514972;-6.63824;-2.757265;4.267515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;-1.8690263;-0.09019146;-1.7124857;88.72587;-0.68263894;189.2478;0.21804568;0.11683658;9.803518;0
1682615970264;-0.14570662;-0.007077877;1.022631;-7.6182404;-1.742265;4.722515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;2.7045777;0.006851932;-1.4292668;88.719124;-0.7881715;189.28876;0.21919309;0.13489786;9.803262;0
1682615970274;-0.42808947;-0.02855557;1.0326377;-5.44824;2.212735;3.217515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;2.0701427;0.0255394;-1.1778022;88.668434;-0.8345574;189.35428;0.22786285;0.1428364;9.8029585;0
1682615970284;-0.068582185;-0.022209888;0.924273;-4.74824;0.32273504;2.062515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;3.1408336;0.023959113;-1.4967308;88.37433;-0.8998624;189.429;0.27817473;0.1540126;9.801476;0
1682615970294;-0.049789198;-0.005857553;0.9823604;-3.9782403;0.28773502;0.977515;45.76996013;4.856315697;234.3305546;270.20337;11.710283;-3.0253804;0.005955019;-1.5201564;88.15823;-0.9244657;189.47438;0.31513757;0.15822314;9.800298;0
1682615970304;-0.045884162;0.051741716;0.9162189;-4.18824;-2.3022652;0.52251494;45.76996013;4.856315697;234.3305546;270.20337;11.710283;-2.823949;-0.056342714;-1.5207583;87.99979;-0.92821586;189.56027;0.34223747;0.15886495;9.799373;0
1682615970314;-0.19281112;-0.007077877;0.86398906;-4.50324;2.107735;-0.38748497;45.76996013;4.856315697;234.3305546;270.20337;11.710283;2.420524;0.007995244;-1.3512303;87.90047;-0.9337828;189.65985;0.3592245;0.15981764;9.798753;0
1682615970325;-0.19354331;-0.020013304;0.88009727;-5.2382402;3.472735;-0.107485;45.76996013;4.856315697;234.3305546;270.20337;11.710283;2.4939775;0.022205539;-1.3543307;87.69229;-0.9275243;189.76482;0.39482522;0.15874657;9.797395;0
1682615970334;0.051497653;-0.012203235;0.8530061;-4.50324;3.3327348;-0.492485;45.76996013;4.856315697;234.3305546;270.20337;11.710283;-2.398337;0.01427918;-1.631095;87.411705;-0.89671284;189.85988;0.44280353;0.1534736;9.795437;0
1682615970344;-0.13643217;-0.012447299;0.9818723;-3.7682402;3.962735;-0.912485;45.76996013;4.856315697;234.3305546;270.20337;11.710283;2.7798207;0.01255581;-1.4327294;87.27113;-0.8564326;189.8821;0.46683937;0.14658011;9.794426;0
