TimeStamp; AccX(g); AccY(g); AccZ(g); GyrX(deg/s); GyrY(deg/s); GyrZ(deg/s); Lat; Long; Alt; Bear; VitGPS(km/h); Azi; Pitch; Roll; Azi1; Pitch1; Roll1; gravX; gravY; gravZ; Event
1686810585603;-0.19915679;0.02709118;0.8759482;-1.6253301;-3.056025;-3.94583;45.73956154;4.83572191;229.9369421;322.09512;16.920612;3.0025058;-0.030149033;-1.3472354;86.28613;1.3020247;147.01274;0.63505024;-0.22283319;9.783515;0
1686810585613;0.48910564;0.022209888;1.0255598;-0.89033;-2.7410252;-4.8558297;45.73956154;4.83572191;229.9369421;322.09512;16.920612;-2.7959383;-0.019544672;-2.0158067;85.85834;1.3238494;147.04066;0.7080718;-0.2265677;9.778413;0
1686810585623;0.215021;-0.15742172;0.94355416;-2.0103302;-2.846025;-3.10583;45.73956154;4.83572191;229.9369421;322.09512;16.920612;-2.9695046;0.16125633;-1.7948542;85.88412;1.3309839;147.0884;0.7036707;-0.22778848;9.778705;0
1686810585633;0.047592618;0.053206105;0.99773645;-0.61033005;-1.236025;-2.40583;45.73956154;4.83572191;229.9369421;322.09512;16.920612;-3.0762746;-0.053215954;-1.6184608;85.991196;1.3825833;147.11922;0.6853797;-0.23661768;9.779792;0
1686810585643;-0.17084529;0.06809405;1.1998221;-2.04533;-0.186025;-3.56083;45.73956154;4.83572191;229.9369421;322.09512;16.920612;3.0678842;-0.056127694;-1.4293549;86.11454;1.3909851;147.14523;0.6643223;-0.23805532;9.781206;0
1686810585653;-0.18378073;-0.04734855;1.0201905;-1.27533;-1.516025;-3.00083;45.73956154;4.83572191;229.9369421;322.09512;16.920612;3.0501764;0.045644533;-1.3925643;86.15792;1.3910809;147.18039;0.65691805;-0.23807168;9.781724;0
1686810585663;0.33778554;-0.015132012;0.82127774;-1.1353301;3.2439752;-2.75583;45.73956154;4.83572191;229.9369421;322.09512;16.920612;-2.8181076;0.017038342;-1.9609997;86.17736;1.397778;147.20938;0.65359604;-0.23921764;9.781903;0
1686810585673;0.36072764;-0.23356992;0.9840689;-2.67533;2.683975;-3.84083;45.73956154;4.83572191;229.9369421;322.09512;16.920612;-2.8781278;0.21926764;-1.9221537;86.316734;1.3882198;147.24025;0.6298012;-0.23758215;9.783506;0
1686810585683;0.12398486;0.058819592;0.94794726;-0.61033005;0.54897493;-3.3858302;45.73956154;4.83572191;229.9369421;322.09512;16.920612;-3.0128298;-0.061447956;-1.7008511;86.8078;1.5274744;147.2878;0.5458945;-0.261409;9.787942;0
1686810585693;-0.25187477;0.09909027;1.0074991;-1.80033;-1.341025;-3.24583;45.73956154;4.83572191;229.9369421;322.09512;16.920612;2.9534392;-0.09512815;-1.3258177;87.32924;1.5638721;147.33362;0.45678633;-0.2676365;9.792336;0
1686810585702;-0.22942081;0.10397157;0.9123139;-1.8703301;-1.131025;-3.03583;45.73956154;4.83572191;229.9369421;322.09512;16.920612;2.9588277;-0.110076845;-1.3244333;87.501976;1.5446227;147.36937;0.4272665;-0.26434302;9.793758;0
1686810585713;0.025138663;0.081517614;0.8227421;-2.7453299;-1.621025;-3.35083;45.73956154;4.83572191;229.9369421;322.09512;16.920612;-3.0773237;-0.0987123;-1.6013416;87.550095;1.5054274;147.40044;0.41904864;-0.2576368;9.794291;0
1686810585723;0.09445304;-0.07907696;1.078766;-3.23533;0.793975;-4.47083;45.73956154;4.83572191;229.9369421;322.09512;16.920612;-3.0450008;0.0728944;-1.6581302;87.62533;1.4351625;147.43518;0.4062001;-0.24561435;9.795142;0
