TimeStamp; AccX(g); AccY(g); AccZ(g); GyrX(deg/s); GyrY(deg/s); GyrZ(deg/s); Lat; Long; VitGPS(km/h); Event
1669287792824;1.1236739;-0.3248501;1.0548476;-6.7664104;-6.7991;16.595776;43.78886638;4.835822892;14.415709;0
1669287792834;0.51692903;0.32899922;0.8849786;5.62359;-0.39409998;23.700775;43.78886638;4.835822892;14.415709;0
1669287792844;0.2496782;-0.40051016;0.67581517;-2.32141;-11.6641;8.020776;43.78886638;4.835822892;14.415709;0
1669287792854;-0.11007317;-0.056867074;1.3638335;5.37859;2.5459;9.350775;43.78886638;4.835822892;14.415709;0
1669287792864;1.0794982;0.019037047;1.9215214;7.3035903;-11.3491;-0.344225;43.78886638;4.835822892;14.415709;0
1669287792873;-0.6318835;-0.23503432;0.74976677;5.16859;7.0958996;-5.594225;43.78886638;4.835822892;14.415709;0
1669287792883;0.47568208;0.16840465;0.5406033;10.87359;-6.6591;-9.934225;43.78886638;4.835822892;14.415709;0
1669287792893;-0.3602395;-0.005125359;0.22600392;9.82359;-0.079100005;-11.824225;43.7888551;4.835758;0;0
1669287792903;-0.41320154;0.032460608;1.2454622;9.05359;-12.434101;-19.629225;43.7888551;4.835758;0;0
1669287792913;-0.939405;-0.10323937;1.5478584;6.4635897;-7.1491003;-18.474226;43.7888551;4.835758;0;0
1669287792924;-0.5757486;0.2274683;1.2371639;10.17359;7.5859003;-20.574224;43.7888551;4.835758;0;0
1669287792934;-0.70070976;0.054670494;0.24796972;6.28859;6.1509;-19.489225;43.7888551;4.835758;0;0
1669287792944;-0.32167727;0.22063449;-0.18060787;6.14859;-3.1241002;-17.844227;43.7888551;4.835758;0;0
1669287792953;1.0370309;-9.76E-04;1.4387615;2.4035902;-19.8541;-18.789225;43.7888551;4.835758;0;0
1669287792964;0.32899922;-0.18500105;1.8341463;-0.01141;-3.7541003;-11.054225;43.78892017;4.835820287;15.056443;0
1669287792974;0.5198578;0.11324602;2.1834028;0.75859;-0.70910007;-11.999225;43.78892017;4.835820287;15.056443;0
1669287792984;-0.44468588;-0.011471041;0.3277789;1.17859;10.7709;-5.9092255;43.78892017;4.835820287;15.056443;0
1669287792994;-0.18426885;-0.050033264;0.614799;-1.9014099;-0.46409997;-0.379225;43.78892017;4.835820287;15.056443;0
1669287793004;-1.2610823;0.045151968;0.8347013;-2.7064102;6.5359;2.070775;43.78892017;4.835820287;15.056443;0
1669287793014;0.6611713;-0.24723755;1.3177054;-5.61141;-3.8241;3.820775;43.78892017;4.835820287;15.056443;0
1669287793024;2.187064;-0.4473706;1.3469931;-4.07141;-8.409101;10.225775;43.78892017;4.835820287;15.056443;0
1669287793034;0.018060789;0.35316163;1.052651;4.0485897;11.5759;12.570775;43.78892017;4.835820287;15.056443;0
1669287793044;-0.3263145;-0.08395825;0.31826037;-3.6864102;-3.0540998;7.9157753;43.78892017;4.835820287;15.056443;0
1669287793055;0.038806286;-0.001220324;0.78222734;0.058589995;-4.8391004;11.030775;43.78892017;4.835820287;15.056443;0
1669287793064;-1.1571108;-0.12837803;1.9442195;0.51359;-1.2341;8.615775;43.78892017;4.835820287;15.056443;0
1669287793074;-0.28043035;-0.22258702;0.70437074;-1.51641;-1.5491;12.745776;43.78892017;4.835820287;15.056443;0
1669287793084;0.42979795;0.12569332;0.5725758;5.72859;-0.0441;10.785774;43.78892017;4.835820287;15.056443;0
1669287793095;-0.2648102;0;1.1690699;2.6135902;-6.6591;6.2357755;43.78892017;4.835820287;15.056443;0
1669287793104;-0.1369203;-0.23893934;0.96356744;2.7535899;-11.909101;8.335775;43.78892017;4.835820287;15.056443;0
1669287793114;-0.15473701;0.14961167;-0.3568226;8.98359;-10.684099;6.725775;43.78892017;4.835820287;15.056443;0
1669287793124;2.6869082;-0.20794314;1.5207671;2.4035902;-30.3891;1.9307749;43.78892017;4.835820287;15.056443;0
1669287793134;-0.6645882;0.030019958;2.2607713;5.0285897;23.3009;14.285775;43.78892017;4.835820287;15.056443;0
1669287793144;0.30386055;0.16645212;2.5482795;3.69859;12.3459;3.6807752;43.78892017;4.835820287;15.056443;0
1669287793154;-0.52059;0.101042785;0.89791405;10.38359;26.1709;-14.134225;43.78892017;4.835820287;15.056443;0
